device_id;timestamp;pressure_value;temp_value;humidity_value
BME680;2025-12-19-11-20-00;0.97738;19.4503;52.0651
BME680;2025-12-19-11-30-00;0.97729;19.4548;57.2955
BME680;2025-12-19-11-40-00;0.97725;19.5054;52.3515
BME680;2025-12-19-11-50-00;0.97726;19.5439;50.1542
BME680;2025-12-19-12-00-00;0.97732;19.5637;69.5256
BME680;2025-12-19-12-10-00;0.97734;19.5252;50.8163
BME680;2025-12-19-12-20-00;0.97726;19.5309;61.9595
BME680;2025-12-19-12-30-00;0.97719;19.5487;57.1214
BME680;2025-12-19-12-40-00;0.97716;19.6092;72.7276
BME680;2025-12-19-12-50-00;0.97709;19.6025;54.4448
BME680;2025-12-19-13-00-00;0.97698;19.3727;46.7972
BME680;2025-12-19-13-10-00;0.97688;19.2421;58.3418
BME680;2025-12-19-13-20-00;0.97682;19.3065;56.4787
BME680;2025-12-19-13-30-00;0.97678;19.4971;63.7537
BME680;2025-12-19-13-40-00;0.97674;19.5669;74.5678
BME680;2025-12-19-13-50-00;0.97667;19.6044;68.6648
BME680;2025-12-19-14-00-00;0.97661;19.6251;68.8357
BME680;2025-12-19-14-10-00;0.97656;19.6563;74.7994
BME680;2025-12-19-14-20-00;0.97649;19.6643;61.5455
BME680;2025-12-19-14-30-00;0.97644;19.692;75.6145
BME680;2025-12-19-14-40-00;0.97644;19.7076;76.8632
BME680;2025-12-19-14-50-00;0.97636;19.5831;59.8077
BME680;2025-12-19-15-00-00;0.9762;19.5162;48.0411
BME680;2025-12-19-15-10-00;0.97616;19.5551;53.7236
BME680;2025-12-19-15-20-00;0.97623;19.585;66.1887
BME680;2025-12-19-15-30-00;0.97632;19.6846;73.4404
BME680;2025-12-19-15-40-00;0.97641;19.7814;74.7592
BME680;2025-12-19-15-50-00;0.97643;19.8034;72.4528
BME680;2025-12-19-16-00-00;0.97644;19.7996;72.9278
BME680;2025-12-19-16-10-00;0.97638;19.7308;69.6023
BME680;2025-12-19-16-20-00;0.97627;19.6449;57.3809
BME680;2025-12-19-16-30-00;0.97614;19.6369;60.7844
BME680;2025-12-19-16-40-00;0.97609;19.7299;67.9495
BME680;2025-12-19-16-50-00;0.97607;19.8467;68.5831
BME680;2025-12-19-17-00-00;0.97602;19.9049;52.6648
BME680;2025-12-19-17-10-00;0.97599;19.9132;71.5963
BME680;2025-12-19-17-20-00;0.97599;19.9164;75.9587
BME680;2025-12-19-17-30-00;0.97596;19.868;61.3042
