device_id;timestamp;tds_value;temp_value;ph_value
Water_1;2025-12-19-17-50-02;297.706;17.6875;6.66
Water_1;2025-12-19-18-00-02;299.017;17.6875;6.66
Water_1;2025-12-19-18-10-02;299.672;17.6875;6.66
Water_1;2025-12-19-18-20-01;297.05;17.6875;6.66
Water_1;2025-12-19-18-30-01;297.05;17.6875;6.66
Water_1;2025-12-19-18-40-01;296.943;17.75;6.66
Water_1;2025-12-19-18-50-01;299.017;17.75;6.66
Water_1;2025-12-19-19-00-01;298.907;17.75;6.66
Water_1;2025-12-19-19-10-02;296.616;17.75;6.66
Water_1;2025-12-19-19-20-02;299.234;17.75;6.66
Water_1;2025-12-19-19-30-01;297.27;17.75;6.66
Water_1;2025-12-19-19-40-01;298.907;17.75;6.66
Water_1;2025-12-19-19-50-01;296.943;17.8125;6.66
Water_1;2025-12-19-20-10-02;298.47;17.8125;6.66
Water_1;2025-12-19-20-20-02;296.183;17.8125;6.66
Water_1;2025-12-19-20-30-02;298.797;17.8125;6.66
Water_1;2025-12-19-20-40-02;298.797;17.8125;6.66
Water_1;2025-12-19-20-50-02;298.797;17.8125;6.66
Water_1;2025-12-19-21-00-04;298.144;17.8125;6.66
Water_1;2025-12-19-21-10-01;298.144;17.8125;6.66
Water_1;2025-12-19-21-20-02;298.144;17.8125;6.66
Water_1;2025-12-19-21-30-02;297.817;17.8125;6.66
Water_1;2025-12-19-21-40-02;297.49;17.8125;6.66
Water_1;2025-12-19-21-50-02;299.451;17.8125;6.66
Water_1;2025-12-19-22-00-01;299.451;17.8125;6.66
Water_1;2025-12-19-22-10-02;299.124;17.8125;6.66
Water_1;2025-12-19-22-20-01;299.451;17.8125;6.66
Water_1;2025-12-19-22-30-01;297.817;17.8125;6.66
Water_1;2025-12-19-22-40-01;299.451;17.8125;6.66
Water_1;2025-12-19-22-50-01;299.451;17.8125;6.66
Water_1;2025-12-20-06-20-01;299.778;17.8125;6.66
Water_1;2025-12-20-06-30-01;298.907;17.8125;6.66
Water_1;2025-12-20-06-40-01;299.451;17.8125;6.66
Water_1;2025-12-20-06-50-01;300.105;17.8125;6.66
Water_1;2025-12-20-07-00-01;300.105;17.8125;6.66
Water_1;2025-12-20-07-10-02;300.105;17.8125;6.66
Water_1;2025-12-20-07-20-02;300.105;17.8125;6.66
Water_1;2025-12-20-07-30-02;299.124;17.8125;6.66
Water_1;2025-12-20-07-40-02;298.47;17.8125;6.66
Water_1;2025-12-20-07-50-02;300.759;17.8125;6.66
Water_1;2025-12-20-08-00-03;298.47;17.8125;6.66
Water_1;2025-12-20-08-10-02;298.797;17.8125;6.66
Water_1;2025-12-20-08-40-06;296.183;17.875;6.66
Water_1;2025-12-20-09-10-01;295.751;17.875;6.66
Water_1;2025-12-20-09-20-01;304.239;17.875;6.66
Water_1;2025-12-20-09-30-02;304.239;17.875;6.66
Water_1;2025-12-20-09-40-03;306.199;17.875;6.66
Water_1;2025-12-20-09-50-02;306.199;17.875;6.66
Water_1;2025-12-20-10-00-02;305.546;17.875;6.66
Water_1;2025-12-20-10-10-02;305.754;17.9375;6.66
Water_1;2025-12-20-10-20-02;305.754;17.9375;6.66
Water_1;2025-12-20-10-30-02;305.754;17.9375;6.66
Water_1;2025-12-20-10-40-02;305.427;17.9375;6.66
Water_1;2025-12-20-10-50-02;305.427;17.9375;6.66
Water_1;2025-12-20-11-00-02;305.101;17.9375;6.66
Water_1;2025-12-20-11-10-02;305.427;17.9375;6.66
Water_1;2025-12-20-11-20-02;305.754;17.9375;6.66
Water_1;2025-12-20-11-30-02;327.347;18;6.66
Water_1;2025-12-20-11-40-02;315.748;17.9375;6.66
Water_1;2025-12-20-11-50-02;325.233;18;6.66
Water_1;2025-12-20-12-00-02;320.324;18;6.66
Water_1;2025-12-20-12-10-02;326.544;18;6.66
